Epoch,Stage,Resolution,D_Loss,G_Loss,Alpha
1,Fade,4x4,0.32546931688189507,0.20775284995377064,0.0
2,Fade,4x4,0.04849096192151308,0.032327468988895415,0.16666666666666666
3,Fade,4x4,0.02312573962956667,0.02876111612379551,0.3333333333333333
4,Fade,4x4,0.015012799702733755,0.02361147988677025,0.5
5,Fade,4x4,0.011137537166476249,0.024183498072624206,0.6666666666666666
6,Fade,4x4,0.009592786035165191,0.03068954330563545,0.8333333333333334
7,Fade,4x4,0.0075123601277917625,0.024135969484001398,1.0
1,Stable,4x4,0.00575472503747791,0.028083355851620435,1.0
2,Stable,4x4,0.005404105834513903,0.02894860846310854,1.0
3,Stable,4x4,0.0054156853552535175,0.032314621793329716,1.0
4,Stable,4x4,0.00453307233568281,0.04194716333031654,1.0
5,Stable,4x4,0.0033621636861935257,0.038935527086257936,1.0
6,Stable,4x4,0.0027900035906769337,0.03872701057374477,1.0
7,Stable,4x4,0.0030704296219348907,0.04232834590911865,1.0
1,Fade,8x8,-0.329509346446991,0.4599647800135612,0.0
2,Fade,8x8,0.08279413176178932,0.015108157377243041,0.1111111111111111
3,Fade,8x8,0.015916202818006278,0.05048783490180969,0.2222222222222222
4,Fade,8x8,0.008247274462617934,0.05499756419181824,0.3333333333333333
5,Fade,8x8,0.008674022702705115,0.08367534965515137,0.4444444444444444
6,Fade,8x8,0.005041871007382869,0.0783213695716858,0.5555555555555556
7,Fade,8x8,0.004841900267452001,0.08442642114162445,0.6666666666666666
8,Fade,8x8,0.004073915880620479,0.09350625561237336,0.7777777777777778
9,Fade,8x8,0.004044692736212164,0.061298310604095456,0.8888888888888888
10,Fade,8x8,0.0038697016288153827,0.06075112614631653,1.0
1,Stable,8x8,0.003081193012306467,0.04564997357845307,1.0
2,Stable,8x8,0.002503181818192825,0.029254844830036163,1.0
3,Stable,8x8,0.0027908989050704986,0.02402826587677002,1.0
4,Stable,8x8,0.0022147297497838734,0.014045644679069519,1.0
5,Stable,8x8,0.0022400836188159884,-0.0008587314891815186,1.0
6,Stable,8x8,0.0019300860321056097,-0.006366231179237365,1.0
7,Stable,8x8,0.001958526099147275,-0.014534068610668182,1.0
8,Stable,8x8,0.0020669968064408748,-0.008465027794837952,1.0
9,Stable,8x8,0.0019570909959543497,0.0087312588763237,1.0
10,Stable,8x8,0.0016271304638776928,0.0021694540119171143,1.0
1,Fade,16x16,-1.4663761741456467,4.163225891670183,0.0
2,Fade,16x16,0.13499458885691543,0.3218952036724889,0.1111111111111111
3,Fade,16x16,0.04026715973661893,0.5352558612420963,0.2222222222222222
4,Fade,16x16,0.030932432545066498,0.33571049559630434,0.3333333333333333
5,Fade,16x16,0.02081661987830716,0.377219544220309,0.4444444444444444
6,Fade,16x16,0.018351607277252064,0.34018856813179144,0.5555555555555556
7,Fade,16x16,0.011739326949979603,0.15956078400225354,0.6666666666666666
8,Fade,16x16,0.006470068852349674,0.18604717638782972,0.7777777777777778
9,Fade,16x16,0.007715788852595077,0.15242954635495248,0.8888888888888888
10,Fade,16x16,0.0059940576719740134,0.18285425446927772,1.0
1,Stable,16x16,0.004285794862438523,0.1748838676749028,1.0
2,Stable,16x16,0.0036489845956489088,0.15087968758600181,1.0
3,Stable,16x16,0.004032793273456003,0.095331697493242,1.0
4,Stable,16x16,0.004942309606296462,0.10832127354253407,1.0
5,Stable,16x16,0.002022939552595463,0.041445761450371016,1.0
6,Stable,16x16,0.0027230204199692213,0.053493404489823884,1.0
7,Stable,16x16,0.0032698874815684756,0.07398979937515121,1.0
8,Stable,16x16,0.0022009864449724537,0.07274951795955308,1.0
9,Stable,16x16,0.0019516735104396976,0.05878513973637189,1.0
10,Stable,16x16,0.002372611597260156,-0.01618966593235335,1.0
1,Fade,32x32,0.5593116269934177,0.17225528351262212,0.0
2,Fade,32x32,0.007562508599720895,0.039607807498462495,0.07142857142857142
3,Fade,32x32,0.001336064868569374,0.04536161948751658,0.14285714285714285
4,Fade,32x32,6.95879826322198e-05,0.040242117161192,0.21428571428571427
5,Fade,32x32,-0.0003594751891680062,0.044296886278819295,0.2857142857142857
6,Fade,32x32,-0.0005050557134672999,0.05512626027420163,0.35714285714285715
7,Fade,32x32,-0.0006096924673207105,0.04336512064810842,0.42857142857142855
8,Fade,32x32,-0.0008647581460140645,0.04445392530295998,0.5
9,Fade,32x32,-0.0008726537672989071,0.04694279840167612,0.5714285714285714
10,Fade,32x32,-0.0009603030867874622,0.03936160949844867,0.6428571428571429
11,Fade,32x32,-0.0009121973042376339,0.040128563862666486,0.7142857142857143
12,Fade,32x32,-0.001134173546936363,0.04222119610896334,0.7857142857142857
