Step,Epoch,FID
2,1,541.5302597176809
2,2,599.1661309588128
2,3,338.4999178687159
2,4,463.1747731731483
2,5,465.7589927809586
2,6,423.91762800385595
2,7,445.9924253636309
2,8,472.711751177775
3,1,304.3774858470427
3,2,347.6724656576563
3,3,279.73692644329776
3,4,330.2264083191724
3,5,292.56157323553316
3,6,291.2821464239064
3,7,359.9269647028306
3,8,352.2194986897557
3,9,284.31272338167014
3,10,378.4002299840523
4,1,NaN
4,2,NaN
4,3,NaN
4,4,NaN
4,5,NaN
4,6,NaN
4,7,NaN
4,8,NaN
4,9,NaN
4,10,NaN
5,1,NaN
5,2,NaN
5,3,NaN
5,4,NaN
5,5,NaN
5,6,NaN
5,7,NaN
